序号,课程名称,课程难度,作业多少,给分好坏,收获大小,选课类别,教学类型,课程类别,开课单位,课程层次,学分
6522,现代原子分子导论（苑震生）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代物理系,通修,3.0
6523,现代原子分子导论（单旭）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代物理系,通修,3.0
6524,现代化学物理进展（李群祥）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,化学物理系,博士,2.0
6525,现代制造系统导论（王翔）,你猜,你猜,你猜,你猜,专业,理论课,研究生课程,精密机械与精密仪器系,硕士,2.0
6526,现代天文望远镜中采用的先进技术（翟超）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,精密机械与精密仪器系,通修,2.0
6527,现代医疗仪器（陶进绪）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,电子工程与信息科学系,硕士,3.0
6528,现代医药生物技术概论（外聘）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
6529,"现代半导体工艺、器件与建模（刁盛锡, Goh Wang Ling）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,专业选修,1.0
6530,现代实验物理方法(下)（丁泽军）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,天文学系,通修,4.0
6531,现代密码学（邢朝平）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,数学科学学院,通修,3.0
6532,现代微分方程选讲（宣本金）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,数学科学学院,通修,3.0
6533,现代工业电子学1（王嵩）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,自动化系,通修,2.0
6534,现代工业电子学2（王嵩）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,自动化系,通修,2.0
6535,现代天线技术（朱旗）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,电子工程与信息科学系,硕士,2.0
6536,现代密码学理论与实践（杨寿保）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,计算机科学与技术系,全校通修,4.0
6537,"现代广告学（汤书昆, 韦琳）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,科技传播与科技政策系,通修,2.0
6538,现代密码学（胡红钢）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,电子工程与信息科学系,硕士,3.0
6539,现代安全监控技术（赵建华）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,火灾科学国家重点实验室,硕士,3.0
6540,现代材料科学基础（张建武）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,物理学系,通修,3.0
6541,现代控制工程（盛捷）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,精密机械与精密仪器系,硕士,3.0
6542,现代微波测量（王卫东）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,电子工程与信息科学系,硕士,2.0
6543,现代日本语言与文化(中级)（范晓燕）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,外语系,通修,4.0
6544,现代汽车与文化（褚家如）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,精密机械与精密仪器系,通修,2.0
6545,现代检测技术导论（梁华为）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,自动化系,硕士,3.0
6546,现代数字信号处理（李辉）,你猜,你猜,你猜,你猜,基础,理论课,专业硕士,电子工程与信息科学系,硕士,3.0
6547,现代日本语言与文化(中级)（申勇）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,外语系,通修,4.0
6548,现代日本语言与文化(初级)（申勇）,你猜,你猜,你猜,你猜,通识,理论课,一般通识,外语系,通修,4.0
6549,现代日本语言与文化(高级)（申勇）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,外语系,通修,4.0
6550,现代结晶学（孙霞）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,天文学系,通修,3.0
6551,现代管理软件的应用与开发（陆蔚群）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,管理科学系,通修,3.5
6552,现代统计力学导论（严以京）,你猜,你猜,你猜,你猜,未知,未知,研究生课,化学物理系,专业方向课,2.0
6553,"现代统计力学导论（严以京, 徐瑞雪）",你猜,你猜,你猜,你猜,计划,理论课,研究生课程,化学物理系,硕士,2.0
6554,现代生物技术研讨（肖卫华）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6555,现代电子技术实验(上)—电子（王吉英）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,电子科学与技术系,通修,2.0
6556,现代电子技术实验(下)—信号（王吉英）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,电子科学与技术系,通修,2.0
6557,现代生物学概论（沈显生）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6558,现代电子系统设计基础（梁晓雯）,你猜,你猜,你猜,你猜,基础,理论课,专业硕士,电子工程与信息科学系,硕士,2.0
6559,现代热工测量技术（李辉）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,热科学和能源工程系,专业选修,3.0
6560,现代统计力学导论（徐瑞雪）,你猜,你猜,你猜,你猜,未知,未知,研究生课,化学物理系,专业方向课,2.0
6561,现代通信光电子学（朱冰）,你猜,你猜,你猜,你猜,基础,理论实验课,研究生课程,电子工程与信息科学系,硕士,2.5
6562,现代运动控制（尚伟伟）,你猜,你猜,你猜,你猜,专业,理论课,研究生课程,自动化系,硕士,2.0
6563,现代通信原理（周武旸）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,电子工程与信息科学系,专业核心,3.5
6564,现代通信原理（秦晓卫）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,自动化系,全校通修,4.0
6565,"现代通信原理（秦晓卫, 徐佩霞）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,自动化系,全校通修,4.0
6566,现代计算机控制理论与技术（郑浩然）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,计算机科学与技术系,硕士,3.0
6567,现代西方哲学（方刚）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,科技哲学系,通修,2.0
6568,现代艺术史（杨重光）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
6569,现代通信原理（徐佩霞）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,电子工程与信息科学系,全校通修,4.0
6570,现代金融理论（张曙光）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,统计与金融系,通修,3.0
6571,现代金融理论（潘婉彬）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,统计与金融系,通修,3.0
6572,理论力学(1)（周听清）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,4.0
6573,现代通信原理（何劲松）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,电子科学与技术系,专业核心课,4.0
6574,现代通信原理（郑重）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,通修,3.0
6575,现代通信原理实验（张志坚）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,电子工程与信息科学系,全校通修,1.0
6576,"现代高速电路板设计（刘桂英, 张璠）",你猜,你猜,你猜,你猜,通识,理论实验课,核心通识,信息科学技术学院,通修,2.0
6577,现代通讯原理(A)（徐佩霞）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,自动化系,通修,3.5
6578,理论力学(1)（马宏昊）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,4.0
6579,现代领导方法与艺术（陈丹）,你猜,你猜,你猜,你猜,专业,理论课,专业硕士,MBA中心,硕士,2.0
6580,理论力学A（王冠中）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
6581,"理论力学A（秦敢, 潘海俊）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
6582,理论力学B（秦敢）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6583,理论力学B（石名俊）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6584,"理论力学(1)（周听清, 马宏昊）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,4.0
6585,理论力学(2)（周听清）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,2.0
6586,"理论力学(1)（郭扬, 郑航）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,4.0
6587,"理论力学(2)（郭扬, 郑航）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,专业基础,2.0
6588,理论力学A（沈惠川）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
6589,理论力学B（沈惠川）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6590,理论物理中的计算机代数（马文淦）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,近代物理系,通修,2.0
6591,理论力学B（张子平）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6592,理论力学B（马锦秀）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6593,理论力学B（朱界杰）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6594,理论力学B（张仁友）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6595,理论力学B（潘海俊）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6596,理论力学与电动力学（潘海俊）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
6597,理论力学B（李毅）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6598,"理论力学B（赵刚, 彭程）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
6599,理论力学与电动力学（沈惠川）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
6600,理论物理前沿讲座（卢建新）,你猜,你猜,你猜,你猜,未知,未知,全校公修,物理学院,未知,1.0
6601,"理论物理前沿讲座（卢建新, 高道能）",你猜,你猜,你猜,你猜,未知,未知,全校公修,物理学院,未知,1.0
6602,理论物理前沿讲座（王文阁）,你猜,你猜,你猜,你猜,计划,理论课,核心通识,物理学院,通修,1.0
6603,"生产实习B（郭扬, 赵凯）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,1.0
6604,生产实习B（秦丰华）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,1.0
6605,"生产实习A（任传胜, 干方建）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,2.0
6606,"生产实习A（任传胜, 干方建, 李家文）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,2.0
6607,"生产实习B（刘志峰, 王军, 祝玉泉）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,1.0
6608,生产实习B（许捍卫）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,工程科学学院,学科群基础课,1.0
6609,理论物理前沿讲座（李明哲）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,物理学院,通修,1.0
6610,"生命分析化学（梁高林, 邓兆祥）",你猜,你猜,你猜,你猜,未知,未知,研究生课,化学系,本研衔接,2.0
6611,"生命分析化学（梁高林, 邓兆祥, 黄光明）",你猜,你猜,你猜,你猜,基础,理论课,研究生课程,化学系,硕士,2.0
6612,生命分析化学（邓兆祥）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,化学系,专业选修,2.0
6613,"生命分析化学（邓兆祥, 金谷）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,化学系,专业选修,2.0
6614,生命分析化学（金谷）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,化学系,专业选修,2.0
6615,"生化与分子生物学文献阅读与分析（田长麟, 臧建业）",你猜,你猜,你猜,你猜,专业,理论课,研究生课程,生命科学学院,博士,2.0
6616,生命科学前沿（张效初）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,学科群基础课,3.0
6617,生命科学前沿（周荣斌）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业基础,3.0
6618,生产调度的基本理论问题（陈华平）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,管理学院,通修,2.0
6619,生命大科学（外聘）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6620,生命科学导论（施蕴渝）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6621,"生命科学大讲堂（吴缅, 管俊林）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6622,生命科学前沿（光寿红）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业基础,3.0
6623,生命科学大讲堂（臧建业）,你猜,你猜,你猜,你猜,未知,理论课,本科计划内课程,生命科学学院,专业选修,1.0
6624,"生命科学大讲堂（臧建业, Dinshaw Patel等）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6625,生命科学导论（孙汭）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,全校通修,2.0
6626,生命科学实验（沈显生）,你猜,你猜,你猜,你猜,通识,实验课,核心通识,生命科学学院,通修,1.0
6627,生命科学导论（沈显生）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6628,生命科学前沿（外聘）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业基础,3.0
6629,生命科学前沿（薛天）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业基础,3.0
6630,生命科学导论（肖卫华）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6631,生命科学导论-生物技术（肖卫华）,你猜,你猜,你猜,你猜,未知,未知,本科计划内/全校公修,生命科学学院,全校通修,2.0
6632,"生命科学导论-脑与认知（毕国强,  杨昱鹏,  张隆华...）",你猜,你猜,你猜,你猜,计划,理论课,核心通识,生命科学学院,通修,2.0
6633,生命科学导论（周丛照）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,全校通修,2.0
6634,"生命科学导论（刘海燕,  张效初,  江维...）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6635,生命科学导论（涂晓明）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6636,生命科学导论（郑晓东）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6637,生命科学导论（陈永艳）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6638,"生命科学导论-健康与疾病（陈永艳, 江维, 孙汭）",你猜,你猜,你猜,你猜,计划,理论课,核心通识,生命科学学院,通修,2.0
6639,"生命科学导论-生态与环境（丁丽俐, 沈显生）",你猜,你猜,你猜,你猜,计划,理论课,核心通识,生命科学学院,通修,2.0
6640,生态毒理学（尹雪斌）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,地球和空间科学学院,通修,3.0
6641,生态毒理学及实习（尹雪斌）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,地球和空间科学学院,专业核心,3.0
6642,生态毒理学实习（尹雪斌）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,地球和空间科学学院,专业硕士课,2.0
6643,生存模型（吴之强）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,统计与金融系,通修,2.0
6644,生存模型（潘婉彬）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,统计与金融系,通修,2.0
6645,"生命科学导论-脑与认知（毕国强, 张隆华, 张效初）",你猜,你猜,你猜,你猜,未知,未知,本科计划内/全校公修,生命科学学院,全校通修,2.0
6646,"生态学野外实习（曹垒, 沈显生）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6647,生命科学文献阅读与论文写作（朱涛）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6648,生态学（沈显生）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6649,生态学野外实习（沈显生）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6650,"生活中的化学科普实验（黄微,  郑媛,  高明丽...）",你猜,你猜,你猜,你猜,通识,实验课,核心通识,化学系,通修,1.0
6651,"生物信息学（施蕴渝, 刘海燕）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
6652,生物信息学（刘海燕）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
6653,"生物光谱学实验（王黎丽, 黄丽华）",你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,通修,1.0
6654,生物伦理学（丁丽俐）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,生命科学学院,通修,2.0
6655,生物传感器及其军事应用（杨圣）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,精密机械与精密仪器系,通修,2.0
6656,生物传热传质（赵刚）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,近代力学系,通修,2.0
6657,生物传热传质学（赵刚）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,近代力学系,通修,2.0
6658,生物信息学算法导论（李骜）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,电子科学与技术系,硕士,2.0
6659,生物信息学（赵伟）,你猜,你猜,你猜,你猜,未知,未知,研究生课,生命科学学院,专业方向课,2.0
6660,"生物化学(I)（滕脉坤, 李卫芳）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6661,"生物化学I（陈宇星,  周丛照,  陈泉...）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,3.0
6662,生物化学I（周丛照）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业核心,3.0
6663,"生物化学I（周丛照, 李卫芳）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业核心,3.0
6664,"生物化学II（周丛照, 李卫芳）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业核心,2.0
6665,"生物化学（王均, 臧建业）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
6666,生物制药工程（李旭）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6667,"生物化学I（臧建业, 李卫芳）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业核心,3.0
6668,生物化学(I)（李卫芳）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6669,生物化学II（李卫芳）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业核心,2.0
6670,"生物化学与分子生物学实验原理（II）（吴缅, 涂晓明, 丁丽俐）",你猜,你猜,你猜,你猜,通识,理论课,研究生课程,生命科学学院,硕士,3.0
6671,"生物化学与分子生物学基础实验（王冬梅, 俞红云, 李卫芳）",你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,专业核心,2.0
6672,生物化学与分子生物学综合实验（王冬梅）,你猜,你猜,你猜,你猜,基础,未知,研究生课程,生命科学学院,硕士,2.0
6673,"生物化学与分子生物学实验原理I（熊英, 李旭）",你猜,你猜,你猜,你猜,基础,理论课,研究生课程,生命科学学院,硕士,2.0
6674,"生物化学与分子生物学实验原理I（熊英, 李旭, 李卫芳）",你猜,你猜,你猜,你猜,未知,未知,研究生课,生命科学学院,本研衔接,2.0
6675,"生物化学与分子生物学实验原理（II）（涂晓明, 丁丽俐, 梅一德）",你猜,你猜,你猜,你猜,基础,理论课,研究生课程,生命科学学院,硕士,3.0
6676,生物化学与分子生物学实验（俞红云）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,全校通修,2.0
6677,"生物化学与分子生物学实验（俞红云, 王秀海）",你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,通修,2.0
6678,生物化学与分子生物学实验（沈为群）,你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,通修,2.0
6679,"生物化学与分子生物学综合实验（李卫芳, 唐雅珺）",你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,专业选修,1.5
6680,"生物化学与分子生物学综合实验（王冬梅, 唐雅珺）",你猜,你猜,你猜,你猜,专业,实验课,研究生课程,生命科学学院,硕士,1.5
6681,"生物化学与分子生物学综合实验（王冬梅, 俞红云, 李卫芳）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,专业硕士课,2.0
6682,生物化学与分子生物学综合实验（俞红云）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,专业硕士课,2.0
6683,"生物医学工程专题（赵刚, 李骜, 丁卫平）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,专业选修,2.0
6684,生物医学工程前沿专题（赵刚）,你猜,你猜,你猜,你猜,专业,理论课,研究生课程,电子科学与技术系,博士,2.0
6685,生物医学工程专题（陈香）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,电子科学与技术系,全校通修,2.0
6686,生物医学基础（李骜）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,专业基础,3.0
6687,生物医学信号处理（杨基海）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,电子科学与技术系,全校通修,4.0
6688,"生物医学导论（杨基海, 冯焕清）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,通修,2.0
6689,生物医学导论（冯焕清）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,通修,2.0
6690,生物地球化学（沈延安）,你猜,你猜,你猜,你猜,专业,理论课,研究生课程,地球和空间科学学院,硕士,3.0
6691,生物多样性及实验I（曹垒）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,生命科学学院,通修,1.5
6692,生物医用材料（王均）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,高分子科学与工程系,通修,2.0
6693,"生物医学工程前沿讲座（赵刚,  陈香,  杜宏伟...）",你猜,你猜,你猜,你猜,未知,未知,本科计划内/全校公修,电子科学与技术系,未知,1.0
6694,"生物医学工程前沿讲座（赵刚,  陈香,  杜宏伟...）",你猜,你猜,你猜,你猜,未知,理论课,本科计划内课程,电子科学与技术系,专业选修,1.0
6695,"生物医学工程前沿讲座（赵刚,  陈香,  杜宏伟...）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,专业选修,1.0
6696,"生物医学工程前沿讲座（赵刚,  陈香,  杜宏伟...）",你猜,你猜,你猜,你猜,通识,理论课,本科计划内课程,电子科学与技术系,专业选修,1.0
6697,生物医学工程前沿讲座（彭虎）,你猜,你猜,你猜,你猜,未知,未知,本科计划内/全校公修,电子科学与技术系,未知,1.0
6698,生物多样性及实验II（沈显生）,你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,生命科学学院,通修,1.5
6699,"生物医学工程导论（杨基海, 冯焕清）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,通修,2.0
6700,生物大分子晶体学基础（滕脉坤）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6701,"生物大分子的结构与功能（滕脉坤, 陈宇星, 臧建业）",你猜,你猜,你猜,你猜,未知,未知,研究生课,生命科学学院,硕士层次,4.0
6702,"生物大分子波谱学原理（吴季辉,  龚庆国,  阮科...）",你猜,你猜,你猜,你猜,专业,理论课,研究生课程,生命科学学院,博士,4.0
6703,生物大分子晶体学原理（牛立文）,你猜,你猜,你猜,你猜,专业,理论课,研究生课程,生命科学学院,硕士,4.0
6704,"生物大分子的结构与功能（陈宇星, 臧建业）",你猜,你猜,你猜,你猜,未知,未知,研究生课,生命科学学院,硕士层次,4.0
6705,"生物大分子的分子设计及计算机模拟（刘海燕, 张志勇）",你猜,你猜,你猜,你猜,未知,未知,研究生课,生命科学学院,本研衔接,2.0
6706,生物大分子晶体学实验（朱中良）,你猜,你猜,你猜,你猜,专业,实验课,研究生课程,生命科学学院,硕士,1.0
6707,生物学野外实习（沈显生）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6708,"生物学野外实习（沈显生, 邸智勇）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6709,生物大分子的分子设计及计算机模拟（张志勇）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,生命科学学院,硕士,2.0
6710,"生物技术制药实验（肖卫华, 郭雨刚）",你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,生命科学学院,专业选修,1.5
6711,"生物技术制药实验（肖卫华, 李光伟）",你猜,你猜,你猜,你猜,计划,理论实验课,本科计划内课程,生命科学学院,专业选修,1.5
6712,生物技术导论（肖卫华）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
6713,"生物学野外实习（曹垒, 沈显生）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6714,生物无机化学（刘扬中）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,化学系,硕士,2.0
6715,生物技术制药（李旭）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6716,"生物微纳机电系统概论（赵刚, 丁卫平）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,电子科学与技术系,专业选修,2.0
6717,生物学野外实习II（沈显生）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,全校通修,1.0
6718,生物学野外实习（黄丽华）,你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,生命科学学院,未知,1.0
6719,生物数学导论（王毅）,你猜,你猜,你猜,你猜,基础,理论课,研究生课程,数学科学学院,硕士,4.0
6720,"生物无机化学原理（徐小龙, 刘扬中）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,化学系,专业选修,3.0
6721,生物无机化学导论（陶先刚）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,化学系,通修,3.0
6722,生物波谱学（施蕴渝）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,生命科学学院,通修,2.0
6723,"生物波谱学（施蕴渝, 吴季辉）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
6724,生物波谱学（吴季辉）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6725,"生物物理（龚庆国,  田长麟,  臧建业...）",你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,物理学院,专业选修,6.0
6726,生物电子学（白永胜）,你猜,你猜,你猜,你猜,计划,理论课,本科计划内课程,生命科学学院,通修,2.0
6727,"生物电子学实验（白永胜, 孙红荣）",你猜,你猜,你猜,你猜,计划,实验课,本科计划内课程,生命科学学院,通修,1.0
6728,生物流体学（刘志峰）,你猜,你猜,你猜,你猜,通识,理论课,核心通识,热科学和能源工程系,通修,2.0
6729,"生物物理（臧建业, 袁军华, 温泉）",你猜,你猜,你猜,你猜,未知,未知,本科计划内课程,物理学院,未知,6.0
